DATA        | HORAS | TIPO TAREFA                         | DESCRIÇÃO DA TAREFA REALIZADA
2025.06.18  |  1h   | gerenciar a construção do software  | estudar a especificação e redigir padrões para o projeto
            |       |                                     |
2025.06.22  |  2h   | gerenciar a construção do software  | estudar a especificação e redigir padrões para o projeto
            |       |                                     |
2025.06.23  |  1h   | gerenciar a construção do software  | estruturar o projeto (diretórios para a aplicação, módulos
            |       |                                     | rotas)
            |       |                                     |
            |  1h   | projetar                            | script principal da aplicação Flask e projetar as interações
            |       |                                     | da aplicação
            |       |                                     |
            |  2h   | codificar módulo                    | requisição da lista de produtos
            |       |                                     |
2025.06.24  |  3h   | codificar módulo                    | controlador do BD
            |       |                                     |
            |  1h   | documentar com Doxygen              |
            |       |                                     |
2025.06.27  |  2h   | codificar módulo                    | refatorar requisição de lista de categorias e de lista de 
            |       |                                     | produtos
            |       |                                     |
2025.06.28  |  1h   | codificar módulo                    | implementar envio de lista de categorias, refatorar
            |       |                                     | comunicação cliente-servidor
            |       |                                     |
2025.06.29  |  3h   | codificar módulo                    | integrar back-end e front-end
            |       |                                     |
