DATA        | HORAS |        TIPO TAREFA        |  DESCRIÇÃO DA TAREFA REALIZADA
2025.06.24  |  3h   | Estudo sobre ferramentas  | Estudo básico sobre flask, socketio e sqlite3
            |       |                           |                          
2025.06.25  |  1h   | Estudo sobre ferramentas  | Revisão de boas praticas para Bancos de dados
            |       |                           |  
            |  2H   |          Projetar         | Projeto de refatoração do Banco de dados
            |       |                           |  
2025.06.26  |  1H   |         Codificar         | Ajuste do codigo SQL para criar e popular tabelas
            |       |                           |  
            |  1H   |         Codificar         | ajuste do modulo para novo SQL
            |       |                           |  
            |  1H   |        Refatoração        | Refatoração do modulo db_controler para seguir uma estrutura mais organizada 
            |       |                           |      
2025.07.10  |  2H   |        Refatoração        | Alteração de algumas tabelas recem criadas para contas e listas
            |       |                           |      
2025.07.11  |  1h   |         Codificar         | Criação de novos metodos para vendedores de produto
            |       |                           |      
            |  1H   |          Refatoração      | Refatoração da pesquisa de produtos
            |       |                           |      
            |  1H   |          Refatoração      | Refatoração das tabelas e views de listas de compras
            |       |                           |      
            |  1H   |          Codificar        | Codificação de metodos de formatação
            |       |                           |
2025.07.12  |  1H   |          Codificar        | Codificação de metodos para busca detalhada de produto
            |       |                           |
            |  1H   |          Teste            | Testagem para novos metodos
